	gender	gender	twitter	twitter
	male	female	followers	friends
user_id				
043u0001	0.9428	0.0572	733	894
043u0003	0.9649	0.0351	92	647
043u0006	0.7454	0.2546	276	278
043u0015	0.0009	0.9991	8576	5726
043u0016	0.0073	0.9927	42	382
043u0017	0.9971	0.0029	699	1130
043u0018	1.0	0.0	737	666
043u0019	0.9953	0.0047	1344	1165
043u0021	0.9998	0.0002	732	756
043u0022	0.0011	0.9989	6294	118
043u0025	0.0041	0.9959	108	157
043u0026	0.9984	0.0016	705	492
043u0029	0.9995	0.0005	10178	289
043u0031	0.9999	0.0001	308	198
043u0033	0.9997	0.0003	2792	1049
043u0035	0.9974	0.0026	248	3454
043u0036	0.0003	0.9997	1440	1294
043u0037	0.005	0.995	278	350
043u0038	0.9998	0.0002	268	85
043u0043	0.9998	0.0002	535	864
043u0053	0.0035	0.9965	65	290
043u0054	0.9999	0.0001	101	319
043u0056	0.994	0.006	40	168
043u0057	0.0012	0.9988	469	55
043u0058	0.0008	0.9992	968	1655
043u0060	0.1155	0.8845	5383	3023
043u0061	0.9989	0.0011	32	101
043u0063	0.9915	0.0085	59	454
043u0068	0.9815	0.0185	81	247
043u0069	0.9987	0.0013	1879	999
043u0072	0.0004	0.9996	631	1296
043u0073	0.9955	0.0045	211	392
043u0075	0.0016	0.9984	1282	1379
043u0076	0.997	0.003	1052	266
043u0080	0.0006	0.9994	376	112
043u0082	0.9961	0.0039	307	1700
043u0084	0.9998	0.0002	603	1217
043u0085	0.9671	0.0329	328	825
043u0086	0.9947	0.0053	2265	1015
043u0088	0.7009	0.2991	36	208
